username,text,likes,timestamp,is_reply
"pazcharpentier","Amigos, ¿cómo están? Hoy les traigo un unboxing muy especial. Como ya saben, este miércoles 11 juraré como diputada, así que quería mostrarles las invitaciones. ¿Qué les parecen? 👀 ¿Van a ver el cambio de mando? Sin duda será un día muy especial. ¡Espero que tengan una linda semana! ✨ See translation",0,,no
"lonchi.alruiz","Miren a la careraja!!!! Devuelvo la plata del magister",3,,no
"_volmax","Esta es la cafiche que vive y estudia a costa de todos los chilenos y ahora quiere quitar beneficios para todos ellos?",7,,no
"davilagomez07","Quizás es H de huona que estudió con gratuidad y que ahora dice que no hay plata para financiar a otros jóvenes más talentosos y con menos recursos 😂",4,,no
"ens_construccions","PAZ CHANTANTIER",79,,no
"adrian.vega.toledo","Así con la que estudio gratis y ahora le quiere quitar la oportunidad a los demás 🤢🤢🤮🤮🤮",5,,no
"humansoy","Claro! Ellas que quieren recortes ena gratuidad y linda le financiamos su magister a la edad que teni qué mantenerte sola... Cafiche del estado.",9,,no
"gas_lopez___123","GRANDE NUESTRA DIPUTADA, Los que comentan amarguras ,a llorar a páginas zurdas, Aquí festejamos nuestro voto bien hecho. !!!",1,,no
"bobmarleypeterroots","Honorable? No quieres educación gratis pero estudiaste tu pst grado con cargo l estado ....",4,,no
"myhellokathy","Así que la gratuidad en educación superior sólo está bien cuando la usan los fachos?",5,,no
"camilamunozazua","DEVUELVE LA PLATA DEL MASTER QUE PAGAMOS TODOS LOS CHILENOS CON NUESTROS IMPUESTOS ♥️✨️",70,,no
"ohhtangerine","Una lavá de pelo por lo menos antes de tirar 💩 a los demás",3,,no
"jarasmkweed","Supongo que pagaras la $ usada que te dieron para estudiar con BECA 🇨🇱🔥",51,,no
"s0yest0y_______","Y el MAGISTER? DEVUELVE LA PLATA NO TE GUSTA LA GRATUIDAD",5,,no
"crisdc1994","Devuelve la plata.",79,,no
"gatadolce","CAFICHE DEL ESTADO",192,,no
